Incident_case_id,Date,Offense,Street_Number,Street_Address,Zip Codes,Precinent
PP21010200001586,1/2/2021,"ROBBERY, VEHICLE",,WHEELER RD / SOUTHERN AVE,26015,
PP21010200000399,1/2/2021,THEFT FROM AUTO,900 BLOCK,916 RAY RD,10889,
PP21010200001080,1/2/2021,ACCIDENT WITH IMPOUND,,HARRY S TRUMAN DR SB / SACRAMENTO ST,08340,
PP21010200000424,1/2/2021,"ROBBERY, OTHER",22800 BLOCK,22818 AQUASCO RD,20608,
PP21010200001099,1/2/2021,"ASSAULT, SHOOTING",4400 BLOCK,4423 ARNOLD RD,15577,
PP21010200001723,1/2/2021,ACCIDENT WITH IMPOUND,,OLD ALEXANDRIA FERRY RD EB / MALCOLM RD,15298,
PP21010200000598,1/2/2021,THEFT FROM AUTO,2000 BLOCK,2020 BROOKS DR,15814,
PP21010200000973,1/2/2021,THEFT,1900 BLOCK,1900 QUEENS CHAPEL RD,25429,
PP21010200000886,1/2/2021,"ROBBERY, OTHER",13900 BLOCK,13928 KING GEORGE WAY,17002,
PP21010200000379,1/2/2021,THEFT FROM AUTO,9000 BLOCK,9044 CONTINENTAL PL,31451,
PP21010200000611,1/2/2021,THEFT,8800 BLOCK,8859 BRANCH AVE,15298,
PP21010200000054,1/2/2021,ACCIDENT WITH IMPOUND,,SAINT BARNABAS RD SB / DEER PARK DR,15817,
PP21010200002064,1/2/2021,THEFT FROM AUTO,9700 BLOCK,9780 MUIRKIRK RD,15999,
PP21010200000677,1/2/2021,"ROBBERY, VEHICLE",2100 BLOCK,2108 ACCOKEEK RD,08834,
PP21010200001679,1/2/2021,"AUTO, STOLEN",,EVANS TRAIL WAY / EVANS TRL,15750,
PP21010200000776,1/2/2021,THEFT FROM AUTO,8900 BLOCK,8916 SNOW ACRES DR,15999,
PP21010200000741,1/2/2021,THEFT,4800 BLOCK,4803 NORWICH RD,15305,
PP21010200001315,1/2/2021,THEFT FROM AUTO,11400 BLOCK,11411 LAKE ARBOR WAY,17158,
PP21010200000857,1/2/2021,THEFT FROM AUTO,1100 BLOCK,1113 CENTENNIAL DR,15572,
PP21010200000403,1/2/2021,THEFT FROM AUTO,9500 BLOCK,9590 CRAIN HWY SE,17002,
PP21010200001169,1/2/2021,THEFT FROM AUTO,6800 BLOCK,6803 HAWTHORNE ST,31451,
PP21010200000766,1/2/2021,THEFT,16700 BLOCK,16700 GOVERNORS BRIDGE RD,16438,
PP21010200000992,1/2/2021,THEFT FROM AUTO,9300 BLOCK,9308 CHERRY HILL RD,15305,
PP21010200001229,1/2/2021,"ROBBERY, VEHICLE",,18800  BLK HORSEHEAD RD,09221,
PP21010200002053,1/2/2021,ACCIDENT WITH IMPOUND,,LANHAM SEVERN RD EB / ANNAPOLIS RD EB,15994,
PP21010200001027,1/2/2021,"AUTO, STOLEN",100 BLOCK,122 FOX CHASE CT,08340,
PP21010200001952,1/2/2021,ACCIDENT WITH IMPOUND,2200 BLOCK,2232 UNIVERSITY BLVD WB,10889,
PP21010200001575,1/2/2021,ACCIDENT WITH IMPOUND,,LAUREL BOWIE RD SB / BALTIMORE WASHINGTON PKWY NB,15999,
PP21010200000862,1/2/2021,THEFT,5600 BLOCK,5621 SARGENT RD NB,8789,
PP21010200000704,1/2/2021,THEFT FROM AUTO,600 BLOCK,632 AUDREY LN,15574,
PP21010200000375,1/2/2021,"ROBBERY, VEHICLE",,FAIRLAWN ST / 29TH PL,15817,
PP21010200001582,1/2/2021,ACCIDENT WITH IMPOUND,,BROWN STATION RD / JOHN ROGERS BLVD NB,17002,
PP21010200001825,1/2/2021,"ASSAULT, SHOOTING",900 BLOCK,957 SAINT MICHAELS DR,17158,
PP21010200001409,1/2/2021,ASSAULT,5100 BLOCK,5151 ALLENTOWN RD SB,15577,
PP21010200000394,1/2/2021,THEFT FROM AUTO,3300 BLOCK,3318 BROOKSHIRE CT,17002,
PP21010200000921,1/2/2021,THEFT,3400 BLOCK,3417 BRANCH AVE SB,15817,
PP21010200000581,1/2/2021,"ASSAULT, SHOOTING",8700 BLOCK,8700 BALTIMORE AVE,15305,
PP21010200000914,1/2/2021,ACCIDENT WITH IMPOUND,,OLD BRANCH AVE / FARMVIEW CT,15298,
PP21010200000449,1/2/2021,THEFT FROM AUTO,1000 BLOCK,1009 BOOKER DR,15568,
PP21010200000378,1/2/2021,ACCIDENT WITH IMPOUND,4600 BLOCK,4602 RUSSELL AVE,16003,
PP21010200001443,1/2/2021,THEFT,20 BLOCK,20 AUDREY LN,15574,
PP21010200002118,1/2/2021,ACCIDENT WITH IMPOUND,8100 BLOCK,8101 ALLENDALE DR,31451,
PP21010200001096,1/2/2021,THEFT FROM AUTO,4700 BLOCK,4747 SILVER HILL RD,15577,
PP21010200000960,1/2/2021,THEFT FROM AUTO,7600 BLOCK,7614 MARLBORO PIKE WB,15814,
PP21010200001962,1/2/2021,"B & E, RESIDENTIAL",4100 BLOCK,4145 SOUTHERN AVE,26012,
PP21010200000706,1/2/2021,THEFT,10500 BLOCK,10515 BALTIMORE AVE,15750,
PP21010200000528,1/2/2021,THEFT,5600 BLOCK,5623 ALLENTOWN RD,15577,
PP21010200001092,1/2/2021,THEFT,600 BLOCK,641 SPECTATOR AVE,31451,
PP21010200000690,1/2/2021,THEFT FROM AUTO,500 BLOCK,513 TOUCHDOWN DR,31451,
PP21010200000822,1/2/2021,THEFT FROM AUTO,12200 BLOCK,12213 FIRTH OF TAE DR,15572,
PP21010300001109,1/3/2021,THEFT FROM AUTO,200 BLOCK,205 CABIN BRANCH RD,15568,
PP21010300000183,1/3/2021,ACCIDENT WITH IMPOUND,14200 BLOCK,14280 BRANDYWINE RD,9221,
PP21010300000028,1/3/2021,ASSAULT,7900 BLOCK,7923 NEW HAMPSHIRE AVE NB,10889,
PP21010300000791,1/3/2021,THEFT FROM AUTO,1100 BLOCK,1109 CYPRESSTREE DR,15568,
PP21010300001058,1/3/2021,THEFT FROM AUTO,3200 BLOCK,3220 SYCAMORE LN,15577,
PP21010300001546,1/3/2021,THEFT,2000 BLOCK,2057 UNIVERSITY BLVD EB,10889,
PP21010300001257,1/3/2021,THEFT FROM AUTO,12000 BLOCK,12009 LAUREL BOWIE RD NB,15999,
PP21010300000171,1/3/2021,THEFT,7500 BLOCK,7507 HILL BURNE DR,31451,
PP21010300001577,1/3/2021,ASSAULT,4500 BLOCK,4500 DANVILLE RD,9221,
PP21010300000325,1/3/2021,THEFT FROM AUTO,3900 BLOCK,3907 SOUTHERN AVE,26012,
PP21010300000958,1/3/2021,ACCIDENT WITH IMPOUND,,DAISY LN / GLENN DALE BLVD EB,16240,
PP21010300000885,1/3/2021,THEFT,5800 BLOCK,5823 EASTERN AVE,8789,
PP21010300000989,1/3/2021,"AUTO, STOLEN & RECOVERED",200 BLOCK,221 DATELEAF AVE,15568,
PP21010300000627,1/3/2021,ACCIDENT WITH IMPOUND,,GREENBELT RD EB / AEROSPACE RD,15994,
PP21010300000637,1/3/2021,THEFT FROM AUTO,6300 BLOCK,6307 HIL MAR DR,15814,
PP21010300000880,1/3/2021,THEFT,1400 BLOCK,1415 SOUTHERN AVE,15574,
PP21010300001838,1/3/2021,ACCIDENT WITH IMPOUND,6400 BLOCK,6407 KNOLLBROOK DR NB,10889,
PP21010300000508,1/3/2021,"AUTO, STOLEN",6900 BLOCK,6900 WOODSTREAM TURN,15994,
PP21010300000691,1/3/2021,THEFT,8700 BLOCK,8755 BRANCH AVE SB,15298,
PP21010300000980,1/3/2021,"AUTO, STOLEN",7200 BLOCK,7216 WEST PARK DR,10889,
PP21010300000269,1/3/2021,ACCIDENT WITH IMPOUND,,28TH AVE EB / SAINT BARNABAS RD SB,15817,
PP21010300001351,1/3/2021,ACCIDENT WITH IMPOUND,,ANNAPOLIS RD EB / BALTIMORE WASHINGTON PKY NB,10891,
PP21010300000654,1/3/2021,THEFT FROM AUTO,2600 BLOCK,2621 LACKAWANNA ST,10889,
PP21010300000531,1/3/2021,THEFT FROM AUTO,1500 BLOCK,1515 MERRIMAC DR,10889,
PP21010300000754,1/3/2021,THEFT FROM AUTO,10200 BLOCK,10208 PRINCE PL,8340,
PP21010300001325,1/3/2021,ASSAULT,,BRANCH AVE NB / WOODYARD RD NB,15298,
PP21010300000742,1/3/2021,THEFT FROM AUTO,5200 BLOCK,5290 MARLBORO PIKE,15814,
PP21010300000816,1/3/2021,ASSAULT,7200 BLOCK,7206 SHERIFF RD WB,31451,
PP21010300000295,1/3/2021,ASSAULT,9700 BLOCK,9709 TRAVERSE WAY,15572,
PP21010300001000,1/3/2021,"ASSAULT, WEAPON",8700 BLOCK,8706 ACCESS RD,17002,
PP21010300000448,1/3/2021,THEFT FROM AUTO,5200 BLOCK,5288 MARLBORO PIKE,15814,
PP21010300001846,1/3/2021,THEFT,7700 BLOCK,7730 FINNS LN,10891,
PP21010300000715,1/3/2021,THEFT,5600 BLOCK,5621 SARGENT RD,8789,
PP21010300001307,1/3/2021,ACCIDENT WITH IMPOUND,,DANVILLE RD / ACCOKEEK RD,9221,
PP21010300000808,1/3/2021,THEFT FROM AUTO,5700 BLOCK,5743 SOUTH HIL MAR CIR,15814,
PP21010300001921,1/3/2021,ACCIDENT WITH IMPOUND,,CEDARHURST DR / ALLOWAY LN,15750,
PP21010300000126,1/3/2021,"AUTO, STOLEN",7500 BLOCK,7507 HILL BURNE DR,31451,
PP21010300001304,1/3/2021,SEX OFFENSE,6600 BLOCK,6601 FREEPORT ST,15302,
PP21010300000824,1/3/2021,"AUTO, STOLEN",9100 BLOCK,9101 PISCATAWAY RD SB,15298,
PP21010300001651,1/3/2021,"AUTO, STOLEN",1300 BLOCK,1303 SHADY GLEN DR,15814,
PP21010300000414,1/3/2021,"B & E, COMMERCIAL",6100 BLOCK,6100 ALLENTOWN RD,15577,
PP21010300000640,1/3/2021,THEFT FROM AUTO,3900 BLOCK,3942 SUITLAND RD,15577,
PP21010300001083,1/3/2021,ACCIDENT WITH IMPOUND,5100 BLOCK,5105 FLINTRIDGE DR,10891,
PP21010300000674,1/3/2021,THEFT FROM AUTO,1000 BLOCK,1032 HAMPTON PARK BLVD,15568,
PP21010300001768,1/3/2021,"ROBBERY, OTHER",7900 BLOCK,7904 24TH PL,10889,
PP21010300001610,1/3/2021,THEFT FROM AUTO,4300 BLOCK,4301 MIDTOWN SQ,15577,
PP21010300000994,1/3/2021,ACCIDENT WITH IMPOUND,,MARTIN LUTHER KING JUNIOR HWY EB / SHERIFF RD EB,31451,
PP21010300000993,1/3/2021,THEFT FROM AUTO,3800 BLOCK,3801 SOUTHERN AVE,26012,
PP21010300000867,1/3/2021,ACCIDENT WITH IMPOUND,,SUITLAND RD / MEADOWVIEW DR,15577,
PP21010300001663,1/3/2021,"AUTO, STOLEN",3400 BLOCK,3420 TOLEDO TER,8789,
PP21010400001236,1/4/2021,"ROBBERY, OTHER",3200 BLOCK,3225 WALTERS LN,15814,
PP21010400000981,1/4/2021,"ROBBERY, VEHICLE",9500 BLOCK,9500 ALLENTOWN RD,15572,
PP21010400000903,1/4/2021,"B & E, RESIDENTIAL",6300 BLOCK,6301 ELM WAY,15298,
PP21010400000885,1/4/2021,THEFT FROM AUTO,2600 BLOCK,2623 SOUTHERN AVE,15817,
PP21010400000635,1/4/2021,"B & E, COMMERCIAL",7700 BLOCK,7700 OLD ALEXANDRIA FERRY RD,15298,
PP21010400001158,1/4/2021,THEFT FROM AUTO,13300 BLOCK,13300 OLD MARLBORO PIKE,17002,
PP21010400001092,1/4/2021,"B & E, RESIDENTIAL",8900 BLOCK,8911 CHESTER GROVE TER,8340,
PP21010400000498,1/4/2021,THEFT FROM AUTO,2700 BLOCK,2750 KAVERTON RD,15814,
PP21010400000499,1/4/2021,THEFT FROM AUTO,15100 BLOCK,15101 BUCK LN,17002,
PP21010400000627,1/4/2021,SEX OFFENSE,14600 BLOCK,14607 BOWIE RD,15999,
PP21010400000539,1/4/2021,"B & E, COMMERCIAL",7800 BLOCK,7830 PENN WESTERN CT,17002,
PP21010400001879,1/4/2021,THEFT,8600 BLOCK,8611 OLD BRANCH AVE,15298,
PP21010400000414,1/4/2021,"AUTO, STOLEN",1200 BLOCK,1215 CHAPEL OAKS DR,15568,
PP21010400001036,1/4/2021,"AUTO, STOLEN",7900 BLOCK,7984 PENN RANDALL PL,17002,
PP21010400000371,1/4/2021,"AUTO, STOLEN",4600 BLOCK,4610 HEATH ST,15568,
PP21010400000761,1/4/2021,SEX OFFENSE,6800 BLOCK,6838 RIVERDALE RD WB,15302,
PP21010400000586,1/4/2021,THEFT FROM AUTO,4200 BLOCK,4248 SUITLAND RD,15577,
PP21010400000805,1/4/2021,"ROBBERY, OTHER",,CHILLUM RD EB / BERKSHIRE DR,10889,
PP21010400000492,1/4/2021,THEFT FROM AUTO,9000 BLOCK,9005 LOCUST SPRING RD,15305,
PP21010400000177,1/4/2021,"ROBBERY, OTHER",3500 BLOCK,3503 HUBBARD RD,31451,
PP21010400000766,1/4/2021,"ROBBERY, OTHER",6400 BLOCK,6495 NEW HAMPSHIRE AVE NB,10889,
PP21010400000915,1/4/2021,THEFT,300 BLOCK,312 ELMLEAF AVE,15568,
PP21010400002127,1/4/2021,"ROBBERY, VEHICLE",1300 BLOCK,1319 DILLON CT,15568,
PP21010400000690,1/4/2021,"AUTO, STOLEN",4600 BLOCK,4635 DALLAS PL,15817,
PP21010400001072,1/4/2021,ACCIDENT WITH IMPOUND,,ANNAPOLIS RD EB / GLENN DALE RD,16440,
PP21010400000811,1/4/2021,THEFT FROM AUTO,5100 BLOCK,5145 FROLICH LN,8347,
PP21010400000352,1/4/2021,ACCIDENT WITH IMPOUND,9100 BLOCK,9147 RIGGS RD,10889,
PP21010400001706,1/4/2021,THEFT FROM AUTO,4400 BLOCK,4436 68TH PL,10891,
PP21010400001573,1/4/2021,THEFT FROM AUTO,2500 BLOCK,2537 MARKHAM LN,31451,
PP21010400000597,1/4/2021,"B & E, OTHER",8500 BLOCK,8520 DUVALL RD,10069,
PP21010400001562,1/4/2021,ACCIDENT WITH IMPOUND,2700 BLOCK,2713 OCALA AVE,15814,
PP21010400000554,1/4/2021,"AUTO, STOLEN",7300 BLOCK,7318 DONNELL PL,15814,
PP21010400000455,1/4/2021,THEFT FROM AUTO,6000 BLOCK,6024 SURREY SQUARE LN,15814,
PP21010400000548,1/4/2021,"AUTO, STOLEN",4800 BLOCK,4859 SAINT BARNABAS RD,15817,
PP21010400001177,1/4/2021,"B & E, RESIDENTIAL",4400 BLOCK,4402 BRAESIDE CT,15994,
PP21010400000517,1/4/2021,"B & E, OTHER",8900 BLOCK,8911 OXON HILL RD,15572,
PP21010400001137,1/4/2021,THEFT,13100 BLOCK,13100 LARKHALL CIR,15572,
PP21010400000475,1/4/2021,THEFT FROM AUTO,4300 BLOCK,4301 WEST VILLAGE AVE,15577,
PP21010400001732,1/4/2021,"ROBBERY, OTHER",14300 BLOCK,14330 CRAIN HWY SE,9221,
PP21010400000730,1/4/2021,THEFT FROM AUTO,9300 BLOCK,9331 COPERNICUS DR,15994,
PP21010400000943,1/4/2021,THEFT FROM AUTO,3300 BLOCK,3350 TOLEDO TER,8789,
PP21010500001058,1/5/2021,"ROBBERY, COMMERCIAL",20 BLOCK,22 WATKINS PARK DR NB,8340,
PP21010500000623,1/5/2021,"AUTO, STOLEN",6000 BLOCK,6000 SAINT IGNATIUS DR,15572,
PP21010500000933,1/5/2021,THEFT FROM AUTO,11700 BLOCK,11760 BALTIMORE AVE SB,15750,
PP21010500000709,1/5/2021,"B & E, COMMERCIAL",900 BLOCK,978 LARGO CENTER DR,8340,
PP21010500001586,1/5/2021,THEFT,16100 BLOCK,16104 CADILLAC DR,9221,
PP21010500000517,1/5/2021,"AUTO, STOLEN",1600 BLOCK,1603 BRIGHTSEAT RD NB,31451,
PP21010500000995,1/5/2021,THEFT FROM AUTO,9100 BLOCK,9101 ROLLING VIEW DR,15994,
PP21010500000496,1/5/2021,THEFT FROM AUTO,9700 BLOCK,9739 GOOD LUCK RD,15994,
PP21010500000546,1/5/2021,THEFT FROM AUTO,1900 BLOCK,1915 ERIE ST,10889,
PP21010500001273,1/5/2021,THEFT,5200 BLOCK,5225 INDIAN HEAD HWY SB,15574,
PP21010500001845,1/5/2021,THEFT,5300 BLOCK,5380 SHERIFF RD WB,15568,
PP21010500000797,1/5/2021,THEFT FROM AUTO,12000 BLOCK,12002 SHADYWOOD CT,17158,
PP21010500001230,1/5/2021,THEFT,2100 BLOCK,2130 BROOKS DR,15814,
PP21010500000699,1/5/2021,"AUTO, STOLEN",900 BLOCK,901 BRIGHTSEAT RD NB,31451,
PP21010500001025,1/5/2021,THEFT,8800 BLOCK,8859 BRANCH AVE,15298,
PP21010500000045,1/5/2021,"AUTO, STOLEN",5900 BLOCK,5919 JOHN ADAMS DR,15817,
PP21010500001298,1/5/2021,THEFT,1000 BLOCK,1037 TREELAND WAY,8340,
PP21010500002186,1/5/2021,"ROBBERY, VEHICLE",4200 BLOCK,4207 VINE ST,15568,
PP21010500000596,1/5/2021,THEFT FROM AUTO,6900 BLOCK,6902 ALLISON ST,10891,
PP21010500001378,1/5/2021,"B & E, RESIDENTIAL",900 BLOCK,901 SOUTHERN AVE,15574,
PP21010500000670,1/5/2021,"AUTO, STOLEN",3700 BLOCK,3710 SAINT BARNABAS RD,15577,
PP21010500001205,1/5/2021,THEFT FROM AUTO,3300 BLOCK,3304 KENILWORTH AVE SB,8347,
PP21010500001663,1/5/2021,ACCIDENT WITH IMPOUND,,ALLENTOWN RD / PAYNE DR,15572,
PP21010500000745,1/5/2021,THEFT FROM AUTO,2200 BLOCK,2260 CRAIN HWY NE,16438,
PP21010500002028,1/5/2021,ACCIDENT WITH IMPOUND,1900 BLOCK,1936 ROCHELL AVE,15814,
PP21010500000505,1/5/2021,THEFT FROM AUTO,6900 BLOCK,6925 ALLISON ST,10891,
PP21010500002178,1/5/2021,ACCIDENT WITH IMPOUND,8600 BLOCK,8617 WOODYARD RD,15298,
PP21010500000741,1/5/2021,"AUTO, STOLEN",6300 BLOCK,6300 HIL MAR CIR E,15814,
PP21010500002202,1/5/2021,ACCIDENT WITH IMPOUND,,POWDER MILL RD WB / BELTSVILLE DR NB,15750,
PP21010500001577,1/5/2021,THEFT FROM AUTO,,ACCESS RD / ARMSTRONG LN,17002,
PP21010500001827,1/5/2021,ACCIDENT WITH IMPOUND,4100 BLOCK,4148 SUITLAND RD,15577,
PP21010500000808,1/5/2021,THEFT,9200 BLOCK,9201 BALLOTADE ST,17002,
PP21010500001581,1/5/2021,ACCIDENT WITH IMPOUND,3300 BLOCK,3350 TOLEDO TER,8789,
PP21010500000599,1/5/2021,THEFT,5000 BLOCK,5014 SIR LUCAS LN,15298,
PP21010500000830,1/5/2021,"B & E, COMMERCIAL",9000 BLOCK,9002 OLD BRANCH AVE,15298,
PP21010500000434,1/5/2021,ACCIDENT WITH IMPOUND,,MARLBORO PIKE EB / PACIFIC AVE,15568,
PP21010500002100,1/5/2021,THEFT,5400 BLOCK,5401 SILVER HILL RD NB,15814,
PP21010500001113,1/5/2021,THEFT FROM AUTO,6300 BLOCK,6357 64TH AVE,15302,
PP21010500002174,1/5/2021,ASSAULT,3700 BLOCK,3700 DONNELL DR,15814,
PP21010500001694,1/5/2021,THEFT FROM AUTO,6300 BLOCK,6333 NEW HAMPSHIRE AVE NB,10889,
PP21010500001347,1/5/2021,THEFT,5800 BLOCK,5844 SILVER HILL RD,15814,
PP21010500000881,1/5/2021,THEFT,6900 BLOCK,6913 ALLISON ST,10891,
PP21010500000853,1/5/2021,"AUTO, STOLEN",1100 BLOCK,1121 NALLEY RD,31451,
PP21010600001518,1/6/2021,ACCIDENT WITH IMPOUND,,ELLIN RD / VETERANS PKY NB,10891,
PP21010600000638,1/6/2021,THEFT FROM AUTO,1000 BLOCK,1001 GLEN WILLOW DR,15568,
PP21010600001145,1/6/2021,THEFT,9100 BLOCK,9139 RIGGS RD,10889,
PP21010600001815,1/6/2021,"AUTO, STOLEN",6700 BLOCK,6726 25TH AVE,8789,
PP21010600000966,1/6/2021,THEFT FROM AUTO,9300 BLOCK,9308 CHERRY HILL RD,15305,
PP21010600001668,1/6/2021,ACCIDENT WITH IMPOUND,,VIRGINIA LN / SAINT BARNABAS RD NB,15572,
PP21010600001820,1/6/2021,ASSAULT,7900 BLOCK,7979 MALCOLM RD,15298,
PP21010600002114,1/6/2021,THEFT,5700 BLOCK,5730 SILVER HILL RD SB,15814,
PP21010600001119,1/6/2021,ACCIDENT WITH IMPOUND,,BERRY RD NB / BEALLE HILL RD,8834,
PP21010600000561,1/6/2021,"B & E, COMMERCIAL",7700 BLOCK,7700 OLD ALEXANDRIA FERRY RD,15298,
PP21010600000032,1/6/2021,THEFT FROM AUTO,9300 BLOCK,9304 MOUNT VERNON WAY,15572,
PP21010600001530,1/6/2021,ACCIDENT WITH IMPOUND,,ROSARYVILLE RD / WOODYARD FARM RD,17002,
PP21010600000551,1/6/2021,THEFT FROM AUTO,2800 BLOCK,2826 ARTS VISTA BLVD,15577,
PP21010600000931,1/6/2021,"AUTO, STOLEN",11200 BLOCK,11292 OLD BALTIMORE PIKE,15750,
PP21010600000897,1/6/2021,"AUTO, STOLEN",6400 BLOCK,6427 HIL MAR DR,15814,
PP21010600000535,1/6/2021,"AUTO, STOLEN",4100 BLOCK,4111 VINE ST,15568,
PP21010600001073,1/6/2021,THEFT,1000 BLOCK,1000 BRIGHTSEAT RD,31451,
PP21010600000951,1/6/2021,THEFT,12700 BLOCK,12788 OLD FORT RD,15572,
PP21010600000504,1/6/2021,THEFT FROM AUTO,8600 BLOCK,8675 GREENBELT RD,16242,
PP21010600001108,1/6/2021,"ROBBERY, OTHER",,LARGO RD WB / HOMESTEAD DR,8340,
PP21010600000489,1/6/2021,"ROBBERY, OTHER",5100 BLOCK,5151 INDIAN HEAD HWY,15574,
PP21010600000008,1/6/2021,"ROBBERY, OTHER",1800 BLOCK,1817 EAST WEST HWY EB,10889,
PP21010600002140,1/6/2021,ACCIDENT WITH IMPOUND,1100 BLOCK,1172 BRIGHTSEAT RD SB,31451,
PP21010600000529,1/6/2021,THEFT FROM AUTO,2600 BLOCK,2600 BROOKS DR,15577,
PP21010600000889,1/6/2021,"AUTO, STOLEN",,CAPITAL VIEW DR / NALLEY RD,31451,
PP21010600001659,1/6/2021,ASSAULT,11700 BLOCK,11729 BELTSVILLE DR,15750,
PP21010600000906,1/6/2021,THEFT FROM AUTO,7600 BLOCK,7610 CENTRAL AVE,31451,
PP21010600002066,1/6/2021,"AUTO, STOLEN",5000 BLOCK,5072 SILVER HILL CT,15814,
PP21010600000557,1/6/2021,THEFT,4500 BLOCK,4549 DALLAS PL,15817,
PP21010600000596,1/6/2021,THEFT FROM AUTO,9300 BLOCK,9336 CHERRY HILL RD,15305,
PP21010600000769,1/6/2021,"B & E, COMMERCIAL",6400 BLOCK,6421 COVENTRY WY,15298,
PP21010600001137,1/6/2021,THEFT,1100 BLOCK,1115 NALLEY RD,31451,
PP21010600001151,1/6/2021,ACCIDENT WITH IMPOUND,,FARMINGTON RD E / INDIAN HEAD HWY NB,8834,
PP21010600000146,1/6/2021,"ROBBERY, VEHICLE",,ELFIN AVE / BENNING RD,15568,
PP21010600000396,1/6/2021,"AUTO, STOLEN",7700 BLOCK,7721 POLK ST,31451,
PP21010700000545,1/7/2021,ACCIDENT WITH IMPOUND,2500 BLOCK,2511 KENILWORTH AVE,8347,
PP21010700001750,1/7/2021,SEX OFFENSE,,CAMP SPRINGS AVE / TRUEMAN DR,15817,
PP21010700000997,1/7/2021,"B & E, RESIDENTIAL",4300 BLOCK,4311 FRANK ST,15577,
PP21010700001448,1/7/2021,ACCIDENT WITH IMPOUND,1000 BLOCK,1001 CONSIDERATION LN,31451,
PP21010700000799,1/7/2021,ASSAULT,10300 BLOCK,10301 MARTIN LUTHER KING JUNIOR HWY EB,16440,
PP21010700001741,1/7/2021,ACCIDENT WITH IMPOUND,,ANNAPOLIS RD EB / CAP BELT IL A HWY SB,10891,
PP21010700001083,1/7/2021,ASSAULT,20 BLOCK,20 AUDREY LN,15574,
PP21010700000786,1/7/2021,"B & E, RESIDENTIAL",6500 BLOCK,6581 HIL MAR DR,15814,
PP21010700001585,1/7/2021,ACCIDENT WITH IMPOUND,3500 BLOCK,3501 BRANCH AVE,15817,
PP21010700000918,1/7/2021,THEFT,9100 BLOCK,9139 RIGGS RD,10889,
PP21010700000469,1/7/2021,THEFT FROM AUTO,1500 BLOCK,1511 RAY RD,8789,
PP21010700001131,1/7/2021,ACCIDENT WITH IMPOUND,8800 BLOCK,8858 SURRATTS RD,9221,
PP21010700000646,1/7/2021,"B & E, COMMERCIAL",6800 BLOCK,6851 NEW HAMPSHIRE AVE,2327,
PP21010700001038,1/7/2021,THEFT FROM AUTO,1100 BLOCK,1101 HAMPTON PARK BLVD,15568,
PP21010700000397,1/7/2021,"ROBBERY, OTHER",,HORSEHEAD RD / AQUASCO RD,9221,
PP21010700000971,1/7/2021,THEFT FROM AUTO,2200 BLOCK,2201 GUILFORD RD,10889,
PP21010700000502,1/7/2021,THEFT FROM AUTO,3300 BLOCK,3304 KENILWORTH AVE,8347,
PP21010700000353,1/7/2021,"ROBBERY, OTHER",7400 BLOCK,7412 LIVINGSTON RD,15572,
PP21010700000758,1/7/2021,"ROBBERY, OTHER",3400 BLOCK,3422 DODGE PARK RD,31451,
PP21010700000506,1/7/2021,"AUTO, STOLEN",,65TH AVE / LUPINE CT,10891,
PP21010700001731,1/7/2021,ACCIDENT WITH IMPOUND,3800 BLOCK,3813 OLD SILVER HILL RD,15577,
PP21010700000810,1/7/2021,THEFT FROM AUTO,5800 BLOCK,5815 RIGGS RD NB,8789,
PP21010700001401,1/7/2021,THEFT,2500 BLOCK,2500 KENT VILLAGE DR,31451,
PP21010700001600,1/7/2021,THEFT FROM AUTO,8100 BLOCK,8112 TAHONA DR,32845,
PP21010700001971,1/7/2021,ACCIDENT WITH IMPOUND,7000 BLOCK,7051 MUIRKIRK MEADOWS DR,15750,
PP21010700001374,1/7/2021,THEFT,9000 BLOCK,9030 TRUMPS HILL RD,17002,
PP21010700001236,1/7/2021,THEFT,9600 BLOCK,9670 BALTIMORE AVE SB,15305,
PP21010700000008,1/7/2021,ASSAULT,,GARRETT A MORGAN BLVD NB / VALLEY TRAIL LN,31451,
PP21010700000668,1/7/2021,THEFT FROM AUTO,3800 BLOCK,3838 REGENCY PKY,15577,
PP21010700000366,1/7/2021,THEFT FROM AUTO,1700 BLOCK,1780 JASMINE TER,10889,
PP21010700000400,1/7/2021,"ROBBERY, OTHER",18100 BLOCK,18108 AQUASCO RD,9221,
PP21010700001754,1/7/2021,THEFT,3600 BLOCK,3664 SAINT BARNABAS RD NB,15577,
PP21010700001157,1/7/2021,THEFT FROM AUTO,9300 BLOCK,9310 ADELPHI RD,10889,
PP21010700001520,1/7/2021,SEX OFFENSE,13100 BLOCK,13139 LARCHDALE RD,15999,
PP21010700001978,1/7/2021,"AUTO, STOLEN",3600 BLOCK,3608 24TH AVE,15817,
PP21010700000765,1/7/2021,THEFT,6900 BLOCK,6900 SAINT IGNATIUS DR,15572,
PP21010700000917,1/7/2021,"ROBBERY, VEHICLE",500 BLOCK,506 CHILLUM RD,10889,
PP21010700001575,1/7/2021,THEFT FROM AUTO,10900 BLOCK,10925 BALTIMORE AVE,15750,
PP21010800000561,1/8/2021,THEFT FROM AUTO,4500 BLOCK,4545 WHEELER RD,15574,
PP21010800001843,1/8/2021,ACCIDENT WITH IMPOUND,,RIVERDALE RD EB / VETERANS PKY SB,15302,
PP21010800001141,1/8/2021,"AUTO, STOLEN",2100 BLOCK,2110 BROOKS DR,15577,
